model,val_bal_acc,val_f1_macro,val_f1_weighted,cv_bal_acc,cv_f1_macro,cv_f1_weighted,best_params,best_cv_search_f1_macro
HistGradientBoosting (baseline),0.3999398616372393,0.4088427638650076,0.7556585751931651,0.39916192398474837,0.407864153,0.754968526,,
RandomForest (baseline),0.39808686353844264,0.40586072753728936,0.750426782,0.39746776416389523,0.4050803203749956,0.750015665,,
LogisticRegression (tuned),0.5368870177692388,0.40487959991891004,0.6338000968082205,0.5199784623286317,0.40115162948462774,0.6343718735597303,{'model__C': 0.01},0.40115162948462774
LogisticRegression (baseline),0.5329267923038836,0.4044179915863721,0.6327087789633145,0.5159873116581932,0.40051095751637095,0.6312636562288452,,
