model,used_sample_weight,val_bal_acc,val_f1_macro,val_f1_weighted,cv_bal_acc,cv_f1_macro,cv_f1_weighted,best_params,best_cv_search_f1_macro
HistGradientBoosting (baseline),True,0.5372636886251182,0.42846617491855293,0.6746037598131585,0.3990866899183216,0.40779701867036666,0.7549451455388934,,
RandomForest (baseline),True,0.3982542911630425,0.406095862584182,0.7502276447387338,0.39762287153875736,0.40545850770327885,0.7499795227945174,,
LogisticRegression (tuned),True,0.5382568180572234,0.40555961432445614,0.6342112097903985,0.5201402957383408,0.4013467371060817,0.6345233140542049,{'model__C': 0.01},0.4013467371060817
LogisticRegression (baseline),True,0.5320426190059173,0.404190261761386,0.6326697659809586,0.5173425857240204,0.40080875572067426,0.6315151626844784,,
