model,used_sample_weight,val_acc,val_bal_acc,val_f1_binary,val_f1_macro,val_precision_pos,val_recall_pos,cv_acc,cv_bal_acc,cv_f1_binary,cv_f1_macro,cv_precision_pos,cv_recall_pos
HistGradientBoosting,True,0.7323417295762015,0.6893060336732734,0.5024315687091844,0.6596816092101722,0.42601319509896324,0.6122587199458178,0.8156923162795537,0.6149185855143899,0.3795513915167391,0.6356606197751592,0.7389245429192333,0.2554176072234763
LogisticRegression,True,0.6985574407653786,0.6767316288195346,0.48288242082318245,0.6350801154171295,0.3885678910441601,0.6376566203860481,0.6964170140825797,0.6729482193675794,0.47851187484989977,0.6321911714816472,0.3854534086741254,0.6309255079006771
RandomForest,True,0.8081321473951716,0.6039504770336006,0.35421383647798743,0.6207710537786505,0.6888454011741683,0.23840162546562818,0.8110578330653357,0.6108932635578886,0.37091198283894206,0.6298712870858643,0.7000385748509685,0.2524830699774266
